,Axis1,Axis2,r2,p,varname,type
MYX,-0.231336583,0.609629179,0.652046279,0.001,MYX,pigment
PSEEL,-0.234566804,0.550963771,0.598817721,0.001,PSEEL,diatom
ALL,-0.257708802,0.530537837,0.58981711,0.001,ALL,pigment
PSEBRI,-0.264023642,0.622087533,0.67579685,0.001,PSEBRI,diatom
PHEA,-0.307950366,0.509211467,0.595088016,0.001,PHEA,pigment
BCAR,-0.320585845,0.448683446,0.551445481,0.001,BCAR,pigment
LUT,-0.329868396,0.434705715,0.545694253,0.001,LUT,pigment
DIA,-0.332897461,0.699419507,0.77460207,0.001,DIA,pigment
LINCO,-0.402723037,0.674776637,0.785817634,0.001,LINCO,diatom
PSEBR,-0.469529905,-0.606400295,0.766928712,0.001,PSEBR,diatom
PSERO,-0.600726314,0.380866501,0.711288546,0.001,PSERO,diatom
NAVCR,-0.632530677,-0.684755022,0.93219338,0.001,NAVCR,diatom
PINSU,-0.732855899,-0.502222764,0.888428654,0.001,PINSU,diatom
NITPE,-0.747787517,-0.526234327,0.914389817,0.001,NITPE,diatom
SELAU,-0.758934392,-0.352480764,0.836793941,0.001,SELAU,diatom
