"","name","value"
"1","ach_minutissimum",5.25
"2","ast_formosa",29
"3","aul_ambigua",54.25
"4","aul_granulata",14
"5","aul_subarctica",25.75
"6","aul_tenella",7
"7","dis_pseudostelligera",5.5
"8","fra_crotonensis",14
"9","fra_mesolepta",6.5
"10","lin_comta",8.75
"11","lin_intermedia",6
"12","nav_cryptocephala",23.75
"13","nit_perminuta",13.5
"14","pin_subanglica",6.25
"15","pse_brevistriata_inflata",7.5
"16","pse_brevistriata",7.25
"17","pse_elliptica",35.5
"18","pse_robusta",5.5
"19","sel_auldrekie",5.75
"20","sel_nigri",9.25
"21","sel_saugerresii",8.25
"22","sta_construens",25.75
"23","sta_pinnata",14.75
"24","sta_venter",59.5
"25","tab_fenestrata",8.5
"26","tab_flocculosa",25.75
